fetched_at,as_of,value,change_pct
2026-09-19T05:51:23Z,2026-09-19,2626.3,5.9011
2026-09-19T05:54:04Z,2026-09-19,2630.39,6.1254
2026-09-19T06:40:56Z,2026-09-19,2627.66,5.8089
2026-09-19T06:46:30Z,2026-09-19,2627.43,5.7897
2026-09-19T06:49:15Z,2026-09-19,2628.19,5.8153
2026-09-19T06:52:19Z,2026-09-19,2627.04,5.7943
2026-09-19T22:34:25Z,2026-09-19,2621.62,-0.2774
2026-09-20T22:34:40Z,2026-09-20,2639.45,0.6401
2026-09-21T22:36:25Z,2026-09-21,2774.55,5.1294
2026-09-22T22:35:15Z,2026-09-22,2747.62,-0.9234
